id,name,address,market,submarket,sale_date,class,units,year_built,sf,avg_sf,sale_price,cap_rate,ppu,psf,buyer,seller,notes,lat,lng
336,The Element,"1550 W Dempster St, Mount Prospect, IL",Chicago,Chicago Suburbs,2025-12-09,,509,1962.0,503910.0,990.0,75250000.0,6.5,147839.0,149.33,Bender / Eastham,Monument,,42.037116891647,-87.95828868481
337,Eleven33,"1133 South Blvd, Oak Park, IL",Chicago,Chicago Suburbs,2025-11-21,,263,2019.0,220920.0,840.0,88500000.0,5.8,336502.0,400.6,Draper & Kramer,Willow Bridge,,41.88665485894,-87.804192660109
338,Brittany Square,"710 S Eola Rd, Aurora, IL",Chicago,Chicago Suburbs,2025-11-01,,83,1976.0,66815.0,805.0,11786000.0,,142000.0,176.4,Undisclosed,Alliven,,41.7429422,-88.2485963
339,Fox Valley Villages,"909 E Golf Rd, Arlington Heights, IL",Chicago,Chicago Suburbs,2025-10-01,,420,1985.0,407400.0,970.0,93200000.0,5.5,221905.0,228.77,Vistria Group/Standard RE,Bridge/Apollo,,42.0512827,-87.9819233
340,Avery at Arlington Lakes,"1847 Clubhouse Dr, Aurora, IL",Chicago,Chicago Suburbs,2025-10-01,,198,1985.0,231264.0,1168.0,46200000.0,6.0,233333.0,199.77,LEM / Marquette,Orion,,41.722478884411,-88.277608098681
341,Summerfield Apartments,"201 Flame Dr, Carol Stream, IL",Chicago,Chicago Suburbs,2025-10-01,,368,1999.0,414736.0,1127.0,88000000.0,5.5,239130.0,212.18,DRA Advisors,Cantor Fitzgerald,,41.898867355262,-88.094356644359
342,Renaissance at Carol Stream,"8712 S 87th Ter, Justice, IL",Chicago,Chicago Suburbs,2025-10-14,,293,1970.0,258426.0,882.0,54000000.0,6.21,184300.0,208.96,Highlands Vista Group,Bender Companies,,41.735635753375,-87.836313283087
343,The Oaks & Laurels,"8712 S 87th Ter, Justice, IL",Chicago,Chicago Suburbs,2025-10-08,,760,1987.0,703760.0,926.0,81500000.0,6.5,107237.0,115.81,Turner Impact Capital,Waterton,,41.735635753375,-87.836313283087
344,Central Park,"11 Fir St, Park Forest, IL",Chicago,Chicago Suburbs,2025-09-04,,220,1946.0,266420.0,1211.0,23200000.0,6.25,105455.0,87.08,GoldOller Real Estate,Bender Companies,,41.486751576412,-87.67462733212
345,7251 at Waters Edge,"7251 S South Shore Dr, Chicago, IL",Chicago,Chicago Suburbs,2025-08-28,,239,1969.0,176860.0,740.0,26500000.0,6.0,110879.0,149.84,New City Property Management,Sandalwood Management,,41.764814132645,-87.561259534818
346,Lincoln Station Rowhomes,"208 N Prairie Rd, New Lenox, IL",Chicago,Chicago Suburbs,2025-08-27,,220,2024.0,203280.0,924.0,65300000.0,5.78,296818.0,321.23,JSB Capital,The Gammonley Group,,41.512841261088,-87.962643868869
347,Fifteen 98 Naperville,"1598 Fairway Dr, Naperville, IL",Chicago,Chicago Suburbs,2025-08-15,,640,1984.0,570880.0,892.0,136000000.0,5.6,212500.0,238.23,Solomon Organization,FPA Multifamily,,41.795479254272,-88.21555119094
348,Mil'Ton,"1155 Museum Blvd, Vernon Hills, IL",Chicago,Chicago Suburbs,2025-08-01,,294,2004.0,328692.0,1118.0,100000000.0,5.4,340136.0,304.24,TLC,Mesirow Financial,,42.247046818841,-87.949655846185
349,Uptown La Grange,"31 E Ogden Ave, La Grange, IL",Chicago,Chicago Suburbs,2025-07-01,,254,2017.0,244348.0,962.0,87800000.0,5.5,345669.0,359.32,Nuveen,JVM,,41.8184643,-87.8682981
350,Hawthorn at Oakhurst,"245 N Oakhurst Dr, Aurora, IL",Chicago,Chicago Suburbs,2025-07-18,,320,1991.0,283520.0,886.0,72250000.0,5.56,225781.0,254.83,Bridge Investment Group,EQT Real Estate,,41.757958800912,-88.23815006181
351,Emblem Oswego,"2000 Emblem Cir, Oswego, IL",Chicago,Chicago Suburbs,2025-06-18,,312,2024.0,285480.0,915.0,84000000.0,5.5,269231.0,294.24,JP Morgan REIT,Quarterra,,41.6947743,-88.2668611
352,Westlyn,"28262 Diehl Rd, Warrenville, IL",Chicago,Chicago Suburbs,2025-06-01,,242,2021.0,206910.0,855.0,59250000.0,5.25,244835.0,286.36,RPM,Laramar / Covington,,41.801292740051,-88.162967498016
353,Valley Lo Towers,"1910 Chestnut Ave, Glenview, IL",Chicago,Chicago Suburbs,2025-06-10,,112,1985.0,131712.0,1176.0,45500000.0,6.2,406250.0,345.45,Hartland Realty Investors,"Marquette Cos, LEM Capital",,42.087379416159,-87.805316472446
